Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Securitization category,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
1928303_LU0003_LU0003_LXEUR,LU0003 CWL 2006-17 2A2 MBS VAR 25.03.2047 LU0003_LXEUR_1928303_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,D,6,708.9675824,0.06361767,1,Other Securitization,1,708.9675824,0,0.054776305,38.83462451,0
535374_LU0003_LU0003_LXEUR,LU0003 WAMU 2005-AR19 A1A1 CMO VAR 25.12.2045 LU0003_LXEUR_535374_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,8.876304164,0.068490517,1,Other Securitization,0.166,1.473466491,0,0.054776305,0.08071105,0
14504624,SMB 2017-A A2B ABS VAR 15.09.2034_14504624,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,333.0026872,0.058052168,1,Other Securitization,0.125,41.6253359,0,0.054776305,2.280082093,0
22554180_LU0003_LU0003_LXEUR,LU0003 RMS 32A A CMO VAR 20.06.2070 LU0003_LXEUR_22554180_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,50.3127633,0.24335037,1,Other Securitization,0.125,6.289095413,0,0.054776305,0.344493408,0
4276517_LU0003_LU0003_LXEUR,LU0003 CWHL 2005-HYB7 1A1 CMO VAR 20.11.2035 LU0003_LXEUR_4276517_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,50.65016037,0.052053484,1,Other Securitization,1,50.65016037,0,0.054776305,2.774428631,0
2219133_LU0003_LU0003_LXEUR,LU0003 BSARM 2005-1 2A1 CMO VAR 25.03.2035 LU0003_LXEUR_2219133_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,21.95341522,0.068494725,1,Other Securitization,0.197,4.324822798,0,0.054776305,0.236897813,0
6599957,CWALT 2005-36 2A1A CMO VAR 25.08.2035_6599957,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,59.27664101,0.068489761,1,Other Securitization,1,59.27664101,0,0.054776305,3.246955365,0
4119244_LU0003_LU0003_LXEUR,LU0003 WAMU 2007-HY1 3A1 CMO FLOAT 25.02.37 LU0003_LXEUR_4119244_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,21.37767771,0.068493072,1,Other Securitization,1,21.37767771,0,0.054776305,1.170990194,0
4553865_LU0003_LU0003_LXEUR,LU0003 CARR 2007-FRE1 A3 MBS VAR 25.02.2037 LU0003_LXEUR_4553865_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,3272.690526,-0.012409625,1,Other Securitization,1,3272.690526,0,0.054776305,179.2658943,0
1929024_LU0003_LU0003_LXEUR,LU0003 MSAC 2007-NC1 A2D MBS VAR 25.11.2036 LU0003_LXEUR_1929024_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CC,6,95.86869768,-1.469160415,1,Other Securitization,1,95.86869768,0,0.054776305,5.251333021,0
4223269_LU0003_LU0003_LXEUR,LU0003 JPMMT 2005-ALT1 2A1 CMO VAR 25.10.2035 LU0003_LXEUR_4223269_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,196.438015,0.019536456,1,Other Securitization,1,196.438015,0,0.054776305,10.76014862,0
21565431_LU0003_LU0003_LXEUR,LU0003 TWRBG 2020-1 A SONI3M+137BP CMBI92013_IE00B5ZR2157_GBP LU0003_LXEUR_21565431_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,3.735823929,32.81038716,32.81038716,Other Securitization,1,3.735823929,0,0.054776305,0.204634631,0
2008450,INDA 2006-AR3 1A1 CMO VAR 25.12.2036_2008450,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,36.22314651,0.068491272,1,Other Securitization,1,36.22314651,0,0.054776305,1.98417012,0
1921702,SLMA 2005-5 A4 ABS VAR 25.10.2028_1921702,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,66.32719537,0.06467833,1,Other Securitization,0.125,8.290899422,0,0.054776305,0.454144835,0
3960050_LU0003_LU0003_LXEUR,LU0003 AHM 2005-2 1A1 CMO VAR 25.09.2045 LU0003_LXEUR_3960050_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,401.6879596,0.068493157,1,Other Securitization,1,401.6879596,0,0.054776305,22.00298217,0
16974606,FHR 4416 FB CMO VAR 15.01.2040_16974606,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,137.9601972,0.049917411,1,Other Securitization,0.125,17.24502465,0,0.054776305,0.944618729,0
2025620_LU0003_LU0003_LXEUR,LU0003 SARM 2005-18 1A1 CMO VAR 25.09.2035 LU0003_LXEUR_2025620_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,24.74357889,0.068497974,1,Other Securitization,1,24.74357889,0,0.054776305,1.355361823,0
22554498,FNR 2010-2 GF CMO VAR 25.12.2049_22554498,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,8.517250522,0.047195008,1,Other Securitization,0.125,1.064656315,0,0.054776305,0.058317939,0
7379414_LU0003_LU0003_LXEUR,LU0003 RASC 2005-EMX5 A3 MBS VAR 25.12.2035 LU0003_LXEUR_7379414_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,C,6,98.2561775,0.068491967,1,Other Securitization,1,98.2561775,0,0.054776305,5.382110343,0
20113529_LU0003_LU0003_LXEUR,LU0003 PEPIB 2019-1 A 1MEUR + 51BP CX2I0Q015_IE00B5ZR2157_EUR LU0003_LXEUR_20113529_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,0.28613179,6.527916222,6.527916222,Other Securitization,1,0.28613179,0,0.054776305,0.015673242,0
1921702,SLMA 2005-5 A4 ABS VAR 25.10.2028_1921702,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,140.6844961,0.06467833,1,Other Securitization,0.125,17.58556202,0,0.054776305,0.963272108,0
23207429_LU0003_LU0003_LXEUR,LU0003 INEOS US PETROCHEM LLC TL B BL3541341_IE00B0C18065_USD LU0003_LXEUR_23207429_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BB,4,8123.350979,4.335601335,4.335601335,Other Securitization,0.82,8123.350979,0,0.054776305,444.9671506,0
7058157_LU0003_LU0003_LXEUR,LU0003 SURF 2006-BC5 A2D MBS VAR 25.11.2037 LU0003_LXEUR_7058157_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CC,6,629.6063328,-0.060163508,1,Other Securitization,1,629.6063328,0,0.054776305,34.48750849,0
7216573_LU0003_LU0003_LXEUR,LU0003 JPMMT 2005-A2 5A2 CMO VAR 25.04.2035 LU0003_LXEUR_7216573_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,15.6101068,0.068491348,1,Other Securitization,0.134,2.091754311,0,0.054776305,0.114578572,0
25094485_LU0003_LU0003_LXEUR,LU0003 BOELS TOPHOLDING BV BL3626159_IE00BK9YL094_EUR LU0003_LXEUR_25094485_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BB,4,183.2212717,5.355984881,5.355984881,Other Securitization,0.82,183.2212717,0,0.054776305,10.03618425,0
2923109_LU0003_LU0003_LXEUR,LU0003 CWALT 2005-J1 3A1 CMO FIX 6.500% 25.08.2032 LU0003_LXEUR_2923109_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,53.75086081,0.068493204,1,Other Securitization,1,53.75086081,0,0.054776305,2.944273544,0
20113294_LU0003_LU0003_LXEUR,LU0003 RIPON 1X A1 3MGBP + 80BP CX2CIK012_IE00B5ZR2157_GBP LU0003_LXEUR_20113294_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,154.0198305,30.75224124,30.75224124,Other Securitization,1,154.0198305,0,0.054776305,8.436637206,0
6181982_LU0003_LU0003_LXEUR,LU0003 AABST 2005-4 M1 MBS VAR 25.10.2035 LU0003_LXEUR_6181982_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,67.8617606,0.06849378,1,Other Securitization,0.166,11.26505226,0,0.054776305,0.617057938,0
8829557_LU0003_LU0003_LXEUR,LU0003 INDX 2006-AR15 A2 CMO VAR 25.07.2036 LU0003_LXEUR_8829557_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,9005.20997,0.068495219,1,Other Securitization,1,9005.20997,0,0.054776305,493.2721276,0
24395135,FHR 5115 EM CMO FIX 1.000% 15.09.2044_24395135,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,6158.342555,3.2854206,3.2854206,Other Securitization,0.125,2529.093186,0,0.054776305,138.5343797,0
13530902_LU0003_LU0003_LXEUR,LU0003 CRMN 2013-1A AR CDO VAR 27.01.2028 LU0003_LXEUR_13530902_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,208.8004978,0.073972601,1,Other Securitization,0.125,26.10006222,0,0.054776305,1.429664968,0
16974059,GNR 2014-H10 FA CMO VAR 20.04.2064_16974059,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,247.696502,0.079070722,1,Other Securitization,1,247.696502,0,0.054776305,13.56789913,0
