Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Securitization category,Duration Class,Corrected Duration,Multiplication Factor,Step Up Factor,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
16974894,TPMT 2017-5 A1 MBS VAR 25.02.2057_16974894,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,12.89413247,0.070326293,1,Type 1 Securitization,1,1,0.01,0,0.01,0.128941325,0,0.063252303,0.008155836,0
525297_LU0003_LU0003_LXEUR,LU0003 CWL 2004-1 3A MBS VAR 25.04.2034 LU0003_LXEUR_525297_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,19.70279578,0.068494412,1,Type 1 Securitization,1,1,0.01,0,0.01,0.197027958,0,0.063252303,0.012462472,0
4172303,LXS 2005-4 1A3 MBS VAR 25.10.2035_4172303,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,59.62798558,0.068495005,1,Type 1 Securitization,1,1,0.012,0,0.012,0.715535827,0,0.063252303,0.045259289,0
22554288,FINA 2004-2 M1 MBS VAR 25.08.2034_22554288,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,200.3260374,0.06849357,1,Type 1 Securitization,1,1,0.028,0,0.028,5.609129047,0,0.063252303,0.354790332,0
4172303,LXS 2005-4 1A3 MBS VAR 25.10.2035_4172303,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,126.4750162,0.068495005,1,Type 1 Securitization,1,1,0.012,0,0.012,1.517700194,0,0.063252303,0.095998033,0
22554226,FHLT 2005-A M3 MBS VAR 25.01.2035_22554226,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,121.4791437,0.068492064,1,Type 1 Securitization,1,1,0.028,0,0.028,3.401416023,0,0.063252303,0.215147398,0
4766563_LU0003_LU0003_LXEUR,LU0003 AMSI 2005-R3 M4 MBS VAR 25.05.2035 LU0003_LXEUR_4766563_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,614.7133952,0.068490079,1,Type 1 Securitization,1,1,0.016,0,0.016,9.835414323,0,0.063252303,0.622112611,0
7013364_LU0003_LU0003_LXEUR,LU0003 JPMAC 2007-CH3 A5 MBS VAR 25.03.2037 LU0003_LXEUR_7013364_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,244.9723796,0.064563257,1,Type 1 Securitization,1,1,0.028,0,0.028,6.859226628,0,0.063252303,0.433861884,0
1929112_LU0003_LU0003_LXEUR,LU0003 PPSI 2005-WHQ3 M4 MBS VAR 25.06.2035 LU0003_LXEUR_1929112_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,138.8405243,0.068493038,1,Type 1 Securitization,1,1,0.016,0,0.016,2.221448389,0,0.063252303,0.140511727,0
7196979_LU0003_LU0003_LXEUR,LU0003 RAAC 2006-SP1 M1 MBS VAR 25.09.2045 LU0003_LXEUR_7196979_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,71.11163638,0.068494326,1,Type 1 Securitization,1,1,0.028,0,0.028,1.991125819,0,0.063252303,0.125943294,0
4455214_LU0003_LU0003_LXEUR,LU0003 RAAC 2006-SP3 M1 MBS VAR 25.08.2036 LU0003_LXEUR_4455214_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AA,1,53.55469842,0.068494667,1,Type 1 Securitization,1,1,0.012,0,0.012,0.642656381,0,0.063252303,0.040649496,0
6981536_LU0003_LU0003_LXEUR,LU0003 RAAC 2006-RP1 M2 MBS VAR 25.10.2045 LU0003_LXEUR_6981536_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,A,2,142.6800448,0.06849404,1,Type 1 Securitization,1,1,0.016,0,0.016,2.282880716,0,0.063252303,0.144397464,0
