"Asset_ID","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"14725153","AAA","AAA",176.8942381742,17.015898453,22.11177977178,2.126987307,"N","N",-159.8783397212,-19.98479246478,"No Change in Rating","No Change in LT_Flag",0.125000000000028,0.125000000022038,2.20099216630132e-11
"14743026","AAA","AAA",225.456984456,55.3697049,28.182123062,6.921213112,"N","N",-170.087279556,-21.26090995,"No Change in Rating","No Change in LT_Flag",0.125000000022177,0.12499999999097,-3.12073838992788e-11
"14902956","AAA","AAA",1417.212201,1461.524565,342.0447565,308.49849703,"N","N",44.3123639999999,-33.54625947,"No Change in Rating","No Change in LT_Flag",0.241350417572365,0.211079926001791,-0.0302704915705735
"14954581","AAA","AAA",1427.1608323682,1370.9171449,178.39510399604,171.36464314,"N","N",-56.2436874681998,-7.03046085604001,"No Change in Rating","No Change in LT_Flag",0.124999999964976,0.12500000002006,5.50836321000503e-11
"15086004","BBB","BBB",22315.63978,20836.976718,11734.09379,9926.584434,"N","N",-1478.663062,-1807.509356,"No Change in Rating","No Change in LT_Flag",0.525823767800575,0.47639274009578,-0.0494310277047948
"15099701","AAA","AAA",2023.966405157,777.9776748,252.9958006443,97.24720936,"N","N",-1245.988730357,-155.7485912843,"No Change in Rating","No Change in LT_Flag",0.124999999999839,0.125000000012854,1.30144089949269e-11
"15148670","BBB","BBB",534.0037519,498.6099722,105.1987391,98.22616453,"N","N",-35.3937797,-6.97257456999999,"No Change in Rating","No Change in LT_Flag",0.196999999954495,0.197000000013237,5.8742122277522e-11
"15176542","AAA","AAA",661.7443913,683.4061163,82.71804892,85.42576454,"N","N",21.661725,2.70771562,"No Change in Rating","No Change in LT_Flag",0.125000000011334,0.125000000003658,-7.67552688074602e-12
"1523056","CCC","CCC",122.6675809,115.38317096,122.6675809,115.38317096,"N","N",-7.28440994,-7.28440994,"No Change in Rating","No Change in LT_Flag",1,1,0
"1533442","CCC","CCC",91.9359986,86.55888521,91.9359986,86.55888521,"N","N",-5.37711339000001,-5.37711339000001,"No Change in Rating","No Change in LT_Flag",1,1,0
"15454220","AAA","AAA",488.108937947,363.3201644,61.0136172485,45.41502056,"N","N",-124.788773547,-15.5985966885,"No Change in Rating","No Change in LT_Flag",0.1250000000105,0.125000000027524,1.7024243126329e-11
"1546437","CC","CC",543.8629767,505.0511973,543.8629767,505.0511973,"N","N",-38.8117794,-38.8117794,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551410","AA","AA",7.939115589,7.297960036,1.063841489,0.977926645,"N","N",-0.641155553,-0.085914844,"No Change in Rating","No Change in LT_Flag",0.134000000009321,0.134000000024116,1.47953871376671e-11
"1551411","NR","NR",32.249295376,28.731342144,32.249295376,28.731342144,"N","N",-3.517953232,-3.517953232,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551412","B","B",6.189912028,5.998995196,6.189912028,5.998995196,"N","N",-0.190916832,-0.190916832,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551415","NR","NR",166.093712154,142.72799838,166.093712154,142.72799838,"N","N",-23.365713774,-23.365713774,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551416","NR","NR",6.861313382,5.139100334,6.861313382,5.139100334,"N","N",-1.722213048,-1.722213048,"No Change in Rating","No Change in LT_Flag",1,1,0
"1551417","BBB","BBB",5.449623499,4.737445348,1.07357583,0.933276733,"N","N",-0.712178151000001,-0.140299097,"No Change in Rating","No Change in LT_Flag",0.197000000127899,0.196999999882637,-2.45261505549266e-10
