"Asset_ID","Asset_Name","Rating_PQ","Rating_CQ","MV_PQ","MV_CQ","CC_PQ","CC_CQ","LT_Flag_PQ","LT_Flag_CQ","deltaMV","deltaCC","CheckRating","Check_LT_Flag","CC_MV_Ratio_PQ","CC_MV_Ratio_CQ","delta_CC_MV_ratio"
"482236","LU0003 CFAB 2002-2 1A5 MBS STEP 6.333% 25.04.2032 LU0003_LXEUR_482236_LU0003_LU0003_LXEUR","BBB","A",397.3020958,405.5491547,11.124458681,6.488786476,"N","N",8.24705890000001,-4.635672205,"Change in Rating","No Change in LT_Flag",0.0279999999964762,0.0160000000019726,-0.0119999999945036
"482623","LU0003 CWL 2005-4 AF6 MBS FIX 4.740% 25.10.2035 LU0003_LXEUR_482623_LU0003_LU0003_LXEUR","AAA","AAA",3.49263065,2.296021781,0.034926306,0.022960218,"N","N",-1.196608869,-0.011966088,"No Change in Rating","No Change in LT_Flag",0.00999999985684143,0.0100000000827518,2.25910396292606e-10
"525297","LU0003 CWL 2004-1 3A MBS VAR 25.04.2034 LU0003_LXEUR_525297_LU0003_LU0003_LXEUR","AAA","AAA",25.906100455,28.991887478,0.259061005,0.289918875,"N","N",3.085787023,0.03085787,"No Change in Rating","No Change in LT_Flag",0.0100000000173704,0.0100000000075883,-9.78209527269236e-12
"6058800","LU0003 MLMI 2005-FM1 M1 MBS VAR 25.05.2036 LU0003_LXEUR_6058800_LU0003_LU0003_LXEUR","BBB","BBB",231.36266274,238.77610882,6.478154556,6.685731046,"N","N",7.41344607999997,0.207576490000001,"No Change in Rating","No Change in LT_Flag",0.027999999996888,0.0279999999959795,-9.08498970497718e-13
"6181983","LU0003 AMSI 2004-R9 M3 MBS VAR 25.10.2034 LU0003_LXEUR_6181983_LU0003_LU0003_LXEUR","BBB","BBB",389.7242288,380.2958863,10.912278406,10.648284817,"N","N",-9.42834249999999,-0.263993588999998,"No Change in Rating","No Change in LT_Flag",0.0279999999989736,0.0280000000015777,2.60409055430344e-12
"6313452","LU0003 PPSI 2005-WCH1 M4 MBS VAR 25.01.2036 LU0003_LXEUR_6313452_LU0003_LU0003_LXEUR","A","A",336.4280369,316.6776921,5.382848591,5.066843074,"N","N",-19.7503448,-0.316005517000001,"No Change in Rating","No Change in LT_Flag",0.0160000000017834,0.0160000000012631,-5.20330306619243e-13
"6846432","LU0003 FFML 2005-FFH1 M1 MBS VAR 25.06.2036 LU0003_LXEUR_6846432_LU0003_LU0003_LXEUR","AAA","AAA",48.83943245,11.321037843,0.488394325,0.113210378,"N","N",-37.518394607,-0.375183947,"No Change in Rating","No Change in LT_Flag",0.0100000000102376,0.00999999996201762,-4.82200130519361e-11
"6981536","LU0003 RAAC 2006-RP1 M2 MBS VAR 25.10.2045 LU0003_LXEUR_6981536_LU0003_LU0003_LXEUR","A","A",226.7029517,209.94806271,3.627247226,3.359169002,"N","N",-16.75488899,-0.268078223999999,"No Change in Rating","No Change in LT_Flag",0.0159999999947067,0.0159999999935222,-1.18451776165429e-12
"6987699","LU0003 SAIL 2004-7 A7 MBS VAR 25.08.2034 LU0003_LXEUR_6987699_LU0003_LU0003_LXEUR","A","A",19.587223935,15.387892731,0.313395583,0.246206284,"N","N",-4.199331204,-0.067189299,"No Change in Rating","No Change in LT_Flag",0.0160000000020421,0.0160000000197558,1.77136465218108e-11
"7013364","LU0003 JPMAC 2007-CH3 A5 MBS VAR 25.03.2037 LU0003_LXEUR_7013364_LU0003_LU0003_LXEUR","BBB","BBB",378.5067297,360.4672019,10.598188433,10.093081652,"N","N",-18.0395277999999,-0.505106781,"No Change in Rating","No Change in LT_Flag",0.0280000000036988,0.027999999996671,-7.02776378758152e-12
"7051864","LU0003 JPMAC 2007-CH2 MV1 MBS VAR 25.01.2037 LU0003_LXEUR_7051864_LU0003_LU0003_LXEUR","BBB","A",519.81404,559.5539835,14.554793122,8.952863734,"N","N",39.7399435,-5.601929388,"Change in Rating","No Change in LT_Flag",0.0280000000038475,0.0159999999964257,-0.0120000000074218
"7069332","LU0003 POPLR 2006-D A3 MBS VAR 25.11.2036 LU0003_LXEUR_7069332_LU0003_LU0003_LXEUR","BBB","BBB",153.68327634,139.54151713,4.303131737,3.90716248,"N","N",-14.14175921,-0.395969257,"No Change in Rating","No Change in LT_Flag",0.0279999999966164,0.0280000000025799,5.96346236281242e-12
"7116524","LU0003 SASC 2007-WF2 A3 MBS VAR 25.08.2037 LU0003_LXEUR_7116524_LU0003_LU0003_LXEUR","A","A",156.52742089,154.27887535,2.504438734,2.468462005,"N","N",-2.24854554000001,-0.0359767289999997,"No Change in Rating","No Change in LT_Flag",0.0159999999984667,0.0159999999961109,-2.35577876650517e-12
